Date,Price,Open,High,Low,Vol.,Change %
10/1/2024,"5,375","5,375","5,450","5,350",40.09M,0.47%
9/30/2024,"5,350","5,400","5,450","5,325",69.42M,-1.83%
9/27/2024,"5,450","5,600","5,600","5,400",79.72M,-2.68%
9/26/2024,"5,600","5,600","5,625","5,450",59.31M,0.00%
9/25/2024,"5,600","5,750","5,750","5,450",120.89M,-3.45%
9/24/2024,"5,800","5,800","5,825","5,750",39.90M,0.00%
9/23/2024,"5,800","5,750","5,850","5,725",48.01M,0.87%
9/20/2024,"5,750","5,825","5,825","5,750",47.67M,-1.29%
9/19/2024,"5,825","5,800","5,850","5,750",93.85M,2.19%
9/18/2024,"5,700","5,700","5,700","5,600",64.49M,0.88%
9/17/2024,"5,650","5,600","5,700","5,600",40.78M,0.44%
9/13/2024,"5,625","5,600","5,650","5,575",34.31M,0.45%
9/12/2024,"5,600","5,625","5,650","5,575",43.32M,-0.88%
9/11/2024,"5,650","5,700","5,750","5,650",33.79M,-0.88%
9/10/2024,"5,700","5,750","5,775","5,700",55.03M,-0.44%
9/9/2024,"5,725","5,650","5,750","5,625",78.83M,1.33%
9/6/2024,"5,650","5,500","5,675","5,475",139.37M,3.67%
9/5/2024,"5,450","5,375","5,450","5,350",62.22M,1.87%
9/4/2024,"5,350","5,325","5,375","5,300",47.28M,-0.47%
9/3/2024,"5,375","5,375","5,400","5,325",20.29M,0.47%
9/2/2024,"5,350","5,350","5,400","5,325",22.99M,0.00%
8/30/2024,"5,350","5,300","5,400","5,300",86.72M,0.94%
8/29/2024,"5,300","5,425","5,425","5,300",40.75M,-1.40%
8/28/2024,"5,375","5,400","5,425","5,275",48.48M,-0.46%
8/27/2024,"5,400","5,525","5,550","5,350",57.14M,-2.26%
8/26/2024,"5,525","5,450","5,550","5,450",68.44M,1.38%
8/23/2024,"5,450","5,300","5,500","5,300",69.91M,3.32%
8/22/2024,"5,275","5,425","5,425","5,225",72.63M,-3.21%
8/21/2024,"5,450","5,475","5,550","5,425",92.70M,-0.46%
8/20/2024,"5,475","5,375","5,500","5,375",69.98M,2.34%
8/19/2024,"5,350","5,300","5,450","5,275",55.66M,0.94%
8/16/2024,"5,300","5,300","5,350","5,275",33.60M,0.95%
8/15/2024,"5,250","5,300","5,325","5,225",33.03M,-0.47%
8/14/2024,"5,275","5,250","5,375","5,225",93.11M,1.93%
8/13/2024,"5,175","5,175","5,200","5,125",26.20M,0.98%
8/12/2024,"5,125","5,150","5,150","5,075",14.30M,0.00%
8/9/2024,"5,125","5,050","5,200","5,050",33.03M,1.99%
8/8/2024,"5,025","5,000","5,100","4,970",51.49M,0.50%
8/7/2024,"5,000","5,025","5,050","4,980",32.56M,-0.50%
8/6/2024,"5,025","5,000","5,075","4,940",51.83M,1.31%
8/5/2024,"4,960","5,025","5,050","4,880",65.49M,-2.75%
8/2/2024,"5,100","5,050","5,150","5,025",75.96M,0.49%
8/1/2024,"5,075","4,940","5,075","4,940",54.21M,2.11%
7/31/2024,"4,970","4,970","5,025","4,920",34.11M,0.40%
7/30/2024,"4,950","5,000","5,000","4,950",36.83M,-1.49%
7/29/2024,"5,025","5,025","5,050","5,000",19.85M,0.50%
7/26/2024,"5,000","5,000","5,075","4,990",41.98M,-0.50%
7/25/2024,"5,025","5,050","5,075","4,980",52.46M,-1.47%
7/24/2024,"5,100","5,050","5,100","5,000",23.44M,0.99%
7/23/2024,"5,050","5,100","5,125","5,050",30.55M,-0.98%
7/22/2024,"5,100","5,125","5,150","5,050",32.38M,0.00%
7/19/2024,"5,100","5,075","5,100","5,025",66.91M,0.49%
7/18/2024,"5,075","4,990","5,125","4,990",86.13M,1.50%
7/17/2024,"5,000","5,050","5,075","5,000",59.62M,0.40%
7/16/2024,"4,980","5,050","5,050","4,980",66.37M,-0.90%
7/15/2024,"5,025","5,050","5,075","4,980",94.79M,0.00%
7/12/2024,"5,025","4,920","5,125","4,920",158.76M,3.18%
7/11/2024,"4,870","4,850","4,880","4,830",37.57M,1.04%
7/10/2024,"4,820","4,850","4,900","4,820",48.70M,-0.82%
7/9/2024,"4,860","4,670","4,870","4,670",87.46M,4.07%
7/8/2024,"4,670","4,730","4,740","4,670",36.00M,-0.64%
7/5/2024,"4,700","4,730","4,780","4,690",67.59M,-0.21%
7/4/2024,"4,710","4,690","4,770","4,660",61.44M,1.29%
7/3/2024,"4,650","4,730","4,740","4,630",41.53M,-1.27%
7/2/2024,"4,710","4,710","4,730","4,670",35.14M,0.00%
7/1/2024,"4,710","4,690","4,720","4,650",43.25M,1.07%
6/28/2024,"4,660","4,590","4,740","4,590",95.38M,1.75%
6/27/2024,"4,580","4,450","4,610","4,430",85.46M,3.62%
6/26/2024,"4,420","4,480","4,530","4,420",34.06M,-1.34%
6/25/2024,"4,480","4,520","4,530","4,420",44.86M,-1.32%
6/24/2024,"4,540","4,540","4,600","4,460",49.11M,0.00%
6/21/2024,"4,540","4,400","4,610","4,400",109.31M,3.18%
6/20/2024,"4,400","4,320","4,410","4,300",50.58M,2.33%
6/19/2024,"4,300","4,310","4,390","4,260",60.37M,-0.23%
6/14/2024,"4,310","4,480","4,480","4,310",65.05M,-3.79%
6/13/2024,"4,480","4,500","4,520","4,460",47.76M,1.13%
6/12/2024,"4,430","4,430","4,460","4,410",112.78M,-1.12%
6/11/2024,"4,480","4,560","4,630","4,480",95.29M,-2.82%
6/10/2024,"4,610","4,650","4,660","4,550",65.70M,-1.91%
6/7/2024,"4,700","4,770","4,780","4,660",45.58M,-1.47%
6/6/2024,"4,770","4,670","4,770","4,630",69.15M,3.47%
6/5/2024,"4,610","4,630","4,660","4,580",48.31M,-0.65%
6/4/2024,"4,640","4,650","4,700","4,600",52.89M,0.43%
6/3/2024,"4,620","4,460","4,640","4,450",53.87M,5.00%
5/31/2024,"4,400","4,540","4,570","4,400",145.98M,-2.00%
5/30/2024,"4,490","4,500","4,560","4,370",81.61M,-0.88%
5/29/2024,"4,530","4,680","4,690","4,500",111.83M,-3.82%
5/28/2024,"4,710","4,700","4,790","4,690",25.80M,0.86%
5/27/2024,"4,670","4,770","4,790","4,630",60.50M,-1.89%
5/22/2024,"4,760","4,720","4,800","4,720",60.86M,-0.21%
5/21/2024,"4,770","4,980","4,990","4,760",87.95M,-4.22%
5/20/2024,"4,980","5,200","5,250","4,950",76.61M,-3.77%
5/17/2024,"5,175","5,200","5,275","5,125",67.68M,-0.48%
5/16/2024,"5,200","5,125","5,275","5,100",118.38M,3.48%
5/15/2024,"5,025","4,880","5,100","4,850",85.73M,1.93%
5/14/2024,"4,930","4,790","4,940","4,780",70.01M,3.14%
5/13/2024,"4,780","4,600","4,780","4,600",54.33M,2.36%
5/8/2024,"4,670","4,680","4,770","4,620",58.55M,-0.64%
5/7/2024,"4,700","4,790","4,810","4,680",82.58M,-2.29%
5/6/2024,"4,810","4,880","4,890","4,800",81.86M,-0.41%
5/3/2024,"4,830","4,850","4,880","4,750",89.52M,0.00%
5/2/2024,"4,830","5,200","5,250","4,810",183.46M,-8.00%
4/30/2024,"5,250","5,325","5,350","5,225",73.66M,0.48%
4/29/2024,"5,225","5,125","5,225","5,050",41.07M,1.46%
4/26/2024,"5,150","5,200","5,275","5,100",80.48M,-2.83%
4/25/2024,"5,300","5,300","5,325","5,225",35.92M,0.00%
4/24/2024,"5,300","5,300","5,350","5,200",44.77M,0.95%
4/23/2024,"5,250","5,375","5,425","5,250",46.19M,-1.87%
4/22/2024,"5,350","5,250","5,350","5,150",62.51M,2.39%
4/19/2024,"5,225","5,250","5,275","5,175",52.52M,-1.42%
4/18/2024,"5,300","5,250","5,350","5,250",57.79M,0.95%
4/17/2024,"5,250","5,250","5,350","5,250",68.95M,0.96%
4/16/2024,"5,200","5,075","5,300","5,050",164.12M,-1.89%
4/5/2024,"5,300","5,325","5,375","5,300",36.82M,-0.93%
4/4/2024,"5,350","5,250","5,375","5,250",163.73M,0.47%
4/3/2024,"5,325","5,450","5,525","5,225",126.99M,-2.74%
4/2/2024,"5,475","5,625","5,625","5,425",121.16M,-3.10%
4/1/2024,"5,650","5,900","5,900","5,550",100.17M,-4.24%
3/28/2024,"5,900","5,950","5,950","5,850",40.08M,-0.42%
3/27/2024,"5,925","5,950","5,975","5,900",19.64M,-0.42%
3/26/2024,"5,950","5,900","5,950","5,850",29.38M,0.42%
3/25/2024,"5,925","5,850","5,925","5,825",43.51M,1.28%
3/22/2024,"5,850","5,850","5,875","5,800",37.99M,0.86%
3/21/2024,"5,800","5,900","5,925","5,800",50.98M,-1.28%
3/20/2024,"5,875","5,850","5,900","5,850",32.73M,0.43%
3/19/2024,"5,850","5,800","5,875","5,800",34.16M,0.86%
3/18/2024,"5,800","5,825","5,900","5,800",48.98M,0.00%
3/15/2024,"5,800","5,950","5,950","5,725",144.45M,-5.69%
3/14/2024,"6,150","6,225","6,250","6,075",88.15M,-1.20%
3/13/2024,"6,225","6,100","6,250","6,100",87.86M,2.05%
